month,category,name,monthly_rank,votes,matched_terms,url
2026-01,agent_identity,Blink Agent Builder,10,545,agentic | ai agents,https://www.producthunt.com/products/blink-21/launches/blink-agent-builder?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,kuku,11,543,ai agent,https://www.producthunt.com/products/kuku/launches/kuku?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Atlas.new,13,526,ai agent,https://www.producthunt.com/products/atlas-co-2/launches/atlas-new-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Humans in the Loop,18,467,agentic,https://www.producthunt.com/products/humans-in-the-loop/launches/humans-in-the-loop?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Mastra 1.0,21,449,ai agents,https://www.producthunt.com/products/mastra/launches/mastra-1-0?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Vellum,27,417,ai agents,https://www.producthunt.com/products/vellum-ai/launches/vellum-8?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,AutoSend,44,374,ai agents,https://www.producthunt.com/products/autosend-2/launches/autosend-4?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Web search API by Crustdata,55,339,ai agent | ai agents,https://www.producthunt.com/products/crustdata-2/launches/web-search-api-by-crustdata?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Community Figma MCP server,56,335,ai agent | ai agents,https://www.producthunt.com/products/community-figma-mcp-server/launches/community-figma-mcp-server?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity, Instruct 2.5,58,333,autonomous agent,https://www.producthunt.com/products/instruct-2/launches/instruct-2-5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,skills.sh,60,326,ai agents,https://www.producthunt.com/products/vercel/launches/skills-sh?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Cue,61,324,ai assistant,https://www.producthunt.com/products/cue-11/launches/cue-c69dbb0f-7894-4464-9264-b89dbd204df9?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Forums,81,280,ai agents,https://www.producthunt.com/products/basehub/launches/forums?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Alpine,93,254,ai agents,https://www.producthunt.com/products/alpine/launches/alpine?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Citable,96,250,ai agents,https://www.producthunt.com/products/citable/launches/citable-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Evernote v11,102,241,ai assistant,https://www.producthunt.com/products/evernote/launches/evernote-v11?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,ShapedQL,120,211,ai agents,https://www.producthunt.com/products/shaped/launches/shapedql?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Pane,144,188,agentic,https://www.producthunt.com/products/pane/launches/pane?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Agentic Vision in Gemini,148,183,agentic,https://www.producthunt.com/products/gemini-6/launches/agentic-vision-in-gemini?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,21st Fund,183,151,agentic,https://www.producthunt.com/products/21st-fund/launches/21st-fund?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Rippletide Eval CLI,188,148,ai agent | ai agents,https://www.producthunt.com/products/rippletide/launches/rippletide-eval-cli?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Cloudchipr,206,138,ai agents,https://www.producthunt.com/products/cloudchipr/launches/cloudchipr?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Polyglotta,225,126,ai agent,https://www.producthunt.com/products/polyglotta/launches/polyglotta-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Waylight for macOS,229,124,ai assistant,https://www.producthunt.com/products/waylight/launches/waylight-for-macos?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Preloop,233,121,agentic | ai agents,https://www.producthunt.com/products/preloop/launches/preloop?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Fluent,240,119,agentic,https://www.producthunt.com/products/fluent-ai-writing-assistant-for-macos/launches/fluent-8?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Hal9,243,118,ai agents,https://www.producthunt.com/products/hal9/launches/hal9-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Toma,247,118,ai agents,https://www.producthunt.com/products/toma-2/launches/toma-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Forge Agent,262,113,ai agents,https://www.producthunt.com/products/rightnow-ai/launches/forge-agent?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,KNOA,272,110,ai agent,https://www.producthunt.com/products/knoa-2/launches/knoa-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Ishi Executive OS,281,109,ai agents,https://www.producthunt.com/products/claw-executive-os/launches/ishi-executive-os?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,CalPal,293,105,ai assistant,https://www.producthunt.com/products/calpal-3/launches/calpal-3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,FireSEO MCP,294,105,agentic,https://www.producthunt.com/products/fireseo-mcp/launches/fireseo-mcp?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,NotifyGate,296,104,ai agent,https://www.producthunt.com/products/notifygate/launches/notifygate?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,relayd,305,101,agentic,https://www.producthunt.com/products/relayd/launches/relayd?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Design in Figma using Cursor Agent + MCP,306,100,ai assistant,https://www.producthunt.com/products/cursor-ai-for-figma/launches/design-in-figma-using-cursor-agent-mcp?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,APX Terminal,314,99,ai assistant,https://www.producthunt.com/products/apx-terminal-the-terminal-perfected/launches/apx-terminal?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Papercuts,316,99,ai agents,https://www.producthunt.com/products/papercuts/launches/papercuts?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,ADB Wrench,337,93,ai assistant,https://www.producthunt.com/products/adb-wrench/launches/adb-wrench?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Komo Playbook,344,92,ai agents,https://www.producthunt.com/products/komo-search/launches/komo-playbook?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Plano,348,91,agentic,https://www.producthunt.com/products/plano/launches/plano?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,flins,355,90,ai agent,https://www.producthunt.com/products/flins/launches/flins?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,The AI Revenue Engine,363,88,ai agents,https://www.producthunt.com/products/ai-powered-form-that-fills-itself/launches/the-ai-revenue-engine?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,AI SmartTalk,371,85,ai agents,https://www.producthunt.com/products/ai-smarttalk/launches/ai-smarttalk?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,The Password App,376,85,ai agents,https://www.producthunt.com/products/the-password-app/launches/the-password-app?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Dawiso AI Context Layer,380,83,ai agents,https://www.producthunt.com/products/dawiso/launches/dawiso-ai-context-layer?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Mnexium AI,381,83,ai agents,https://www.producthunt.com/products/mnexium-ai/launches/mnexium-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Cosmic AI Workflows,383,82,ai agents,https://www.producthunt.com/products/cosmic/launches/cosmic-ai-workflows?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Bridge4Simulator MCP,407,75,ai assistants,https://www.producthunt.com/products/bridge4simulator-mcp/launches/bridge4simulator-mcp?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,GROOVY,413,73,ai agents,https://www.producthunt.com/products/groovy/launches/groovy?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Cortex,421,70,ai agent,https://www.producthunt.com/products/cortex-10/launches/cortex-11?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,agent_identity,Agihalo,426,68,ai agents,https://www.producthunt.com/products/agihalo/launches/agihalo?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,Humans in the Loop,18,467,mcp,https://www.producthunt.com/products/humans-in-the-loop/launches/humans-in-the-loop?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,Community Figma MCP server,56,335,mcp,https://www.producthunt.com/products/community-figma-mcp-server/launches/community-figma-mcp-server?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,Cue,61,324,mcp,https://www.producthunt.com/products/cue-11/launches/cue-c69dbb0f-7894-4464-9264-b89dbd204df9?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,Repo Prompt,82,280,mcp,https://www.producthunt.com/products/repo-prompt/launches/repo-prompt?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,FastMCP 3.0,127,205,mcp,https://www.producthunt.com/products/fastmcp/launches/fastmcp-3-0?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,"Clippy, but on Steroids",139,190,mcp,https://www.producthunt.com/products/clippy-on-cocaine/launches/clippy-but-on-steroids?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,Ekamoira Google Search Console MCP,152,179,mcp,https://www.producthunt.com/products/ekamoira-gsc-mcp/launches/ekamoira-google-search-console-mcp?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,Zenflow by Zencoder,154,175,parallel agents,https://www.producthunt.com/products/zencoder/launches/zenflow-by-zencoder?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,Owl Browser,194,146,browser automation,https://www.producthunt.com/products/owl-browser/launches/owl-browser?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
2026-01,harness_infrastructure,MCPJam Inspector,200,142,mcp,https://www.producthunt.com/products/mcpjam-inspector/launches/mcpjam-inspector?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+Product+Hunt+API+Local+%28ID%3A+297223%29
