month,category,label,posts,population_share,population_ci_low,population_ci_high,top_decile_posts,top_decile_share,top_decile_lift,share_change_pp
2026-01,agent_identity,Agent identity,52,0.12037,0.092984,0.154449,7,0.159091,1.322,
2026-01,ai_coworkers,AI coworkers,0,0.0,0.0,0.008814,0,0.0,,
2026-01,loop_engineering,Loop engineering,0,0.0,0.0,0.008814,0,0.0,,
2026-01,harness_infrastructure,Harness and infrastructure,20,0.046296,0.030167,0.070424,1,0.022727,0.491,
2026-01,human_agent_organization,Human-agent organization,4,0.009259,0.003606,0.023563,1,0.022727,2.455,
2026-01,coding_and_building,Coding and building,17,0.039352,0.024712,0.062112,5,0.113636,2.888,
2026-01,gtm_agents,GTM agents,1,0.002315,0.000409,0.012994,0,0.0,0.0,
2026-01,openclaw_ecosystem,OpenClaw ecosystem,1,0.002315,0.000409,0.012994,1,0.022727,9.818,
2026-01,model_release,Model releases,9,0.020833,0.010998,0.039115,1,0.022727,1.091,
2026-02,agent_identity,Agent identity,86,0.169291,0.13919,0.204357,9,0.173077,1.022,4.89
2026-02,ai_coworkers,AI coworkers,2,0.003937,0.00108,0.01424,1,0.019231,4.885,0.39
2026-02,loop_engineering,Loop engineering,0,0.0,0.0,0.007505,0,0.0,,0.0
2026-02,harness_infrastructure,Harness and infrastructure,25,0.049213,0.033553,0.071639,1,0.019231,0.391,0.29
2026-02,human_agent_organization,Human-agent organization,6,0.011811,0.005424,0.025526,0,0.0,0.0,0.26
2026-02,coding_and_building,Coding and building,32,0.062992,0.04497,0.087574,7,0.134615,2.137,2.36
2026-02,gtm_agents,GTM agents,3,0.005906,0.00201,0.017217,0,0.0,0.0,0.36
2026-02,openclaw_ecosystem,OpenClaw ecosystem,27,0.05315,0.036781,0.076225,4,0.076923,1.447,5.08
2026-02,model_release,Model releases,9,0.017717,0.009348,0.033325,3,0.057692,3.256,-0.31
2026-03,agent_identity,Agent identity,154,0.227474,0.197486,0.260538,18,0.264706,1.164,5.82
2026-03,ai_coworkers,AI coworkers,5,0.007386,0.003159,0.017172,1,0.014706,1.991,0.34
2026-03,loop_engineering,Loop engineering,3,0.004431,0.001508,0.012947,1,0.014706,3.319,0.44
2026-03,harness_infrastructure,Harness and infrastructure,47,0.069424,0.052607,0.0911,7,0.102941,1.483,2.02
2026-03,human_agent_organization,Human-agent organization,14,0.020679,0.012357,0.034411,2,0.029412,1.422,0.89
2026-03,coding_and_building,Coding and building,51,0.075332,0.057759,0.097698,5,0.073529,0.976,1.23
2026-03,gtm_agents,GTM agents,3,0.004431,0.001508,0.012947,0,0.0,0.0,-0.15
2026-03,openclaw_ecosystem,OpenClaw ecosystem,41,0.060561,0.044953,0.081129,4,0.058824,0.971,0.74
2026-03,model_release,Model releases,16,0.023634,0.014599,0.038044,2,0.029412,1.244,0.59
2026-04,agent_identity,Agent identity,158,0.175361,0.151923,0.201555,23,0.25,1.426,-5.21
2026-04,ai_coworkers,AI coworkers,3,0.00333,0.001133,0.009744,0,0.0,0.0,-0.41
2026-04,loop_engineering,Loop engineering,0,0.0,0.0,0.004246,0,0.0,,-0.44
2026-04,harness_infrastructure,Harness and infrastructure,64,0.071032,0.056017,0.08969,4,0.043478,0.612,0.16
2026-04,human_agent_organization,Human-agent organization,12,0.013319,0.007635,0.023135,2,0.021739,1.632,-0.74
2026-04,coding_and_building,Coding and building,49,0.054384,0.041379,0.071173,11,0.119565,2.199,-2.09
2026-04,gtm_agents,GTM agents,5,0.005549,0.002373,0.012925,1,0.01087,1.959,0.11
2026-04,openclaw_ecosystem,OpenClaw ecosystem,15,0.016648,0.010114,0.027286,7,0.076087,4.57,-4.39
2026-04,model_release,Model releases,13,0.014428,0.008451,0.024529,4,0.043478,3.013,-0.92
2026-05,agent_identity,Agent identity,155,0.187424,0.162294,0.215445,27,0.325301,1.736,1.21
2026-05,ai_coworkers,AI coworkers,2,0.002418,0.000663,0.008775,1,0.012048,4.982,-0.09
2026-05,loop_engineering,Loop engineering,1,0.001209,0.000213,0.006817,0,0.0,0.0,0.12
2026-05,harness_infrastructure,Harness and infrastructure,73,0.088271,0.070791,0.109559,14,0.168675,1.911,1.72
2026-05,human_agent_organization,Human-agent organization,15,0.018138,0.011022,0.02971,7,0.084337,4.65,0.48
2026-05,coding_and_building,Coding and building,25,0.03023,0.020558,0.044245,6,0.072289,2.391,-2.42
2026-05,gtm_agents,GTM agents,4,0.004837,0.001882,0.01237,1,0.012048,2.491,-0.07
2026-05,openclaw_ecosystem,OpenClaw ecosystem,11,0.013301,0.007443,0.02366,5,0.060241,4.529,-0.33
2026-05,model_release,Model releases,11,0.013301,0.007443,0.02366,1,0.012048,0.906,-0.11
2026-06,agent_identity,Agent identity,113,0.183442,0.154871,0.215936,25,0.403226,2.198,-0.4
2026-06,ai_coworkers,AI coworkers,6,0.00974,0.004471,0.021086,3,0.048387,4.968,0.73
2026-06,loop_engineering,Loop engineering,0,0.0,0.0,0.006198,0,0.0,,-0.12
2026-06,harness_infrastructure,Harness and infrastructure,55,0.089286,0.069238,0.114424,7,0.112903,1.265,0.1
2026-06,human_agent_organization,Human-agent organization,10,0.016234,0.008841,0.029623,3,0.048387,2.981,-0.19
2026-06,coding_and_building,Coding and building,30,0.048701,0.034324,0.068673,3,0.048387,0.994,1.85
2026-06,gtm_agents,GTM agents,4,0.006494,0.002528,0.016576,2,0.032258,4.968,0.17
2026-06,openclaw_ecosystem,OpenClaw ecosystem,8,0.012987,0.006595,0.025416,2,0.032258,2.484,-0.03
2026-06,model_release,Model releases,5,0.008117,0.003472,0.018859,1,0.016129,1.987,-0.52
2026-07,agent_identity,Agent identity,118,0.220974,0.187845,0.258088,16,0.296296,1.341,3.75
2026-07,ai_coworkers,AI coworkers,6,0.011236,0.005159,0.024295,0,0.0,0.0,0.15
2026-07,loop_engineering,Loop engineering,0,0.0,0.0,0.007143,0,0.0,,0.0
2026-07,harness_infrastructure,Harness and infrastructure,53,0.099251,0.076682,0.127545,7,0.12963,1.306,1.0
2026-07,human_agent_organization,Human-agent organization,7,0.013109,0.006364,0.026809,0,0.0,0.0,-0.31
2026-07,coding_and_building,Coding and building,25,0.046816,0.031909,0.068198,5,0.092593,1.978,-0.19
2026-07,gtm_agents,GTM agents,2,0.003745,0.001028,0.013552,1,0.018519,4.944,-0.27
2026-07,openclaw_ecosystem,OpenClaw ecosystem,6,0.011236,0.005159,0.024295,2,0.037037,3.296,-0.18
2026-07,model_release,Model releases,11,0.020599,0.01154,0.036506,2,0.037037,1.798,1.25
2026-08,agent_identity,Agent identity,119,0.227099,0.193289,0.264882,15,0.283019,1.246,0.61
2026-08,ai_coworkers,AI coworkers,6,0.01145,0.005258,0.024754,2,0.037736,3.296,0.02
2026-08,loop_engineering,Loop engineering,1,0.001908,0.000337,0.01073,0,0.0,0.0,0.19
2026-08,harness_infrastructure,Harness and infrastructure,55,0.104962,0.081531,0.134143,7,0.132075,1.258,0.57
2026-08,human_agent_organization,Human-agent organization,9,0.017176,0.009062,0.032317,0,0.0,0.0,0.41
2026-08,coding_and_building,Coding and building,39,0.074427,0.05492,0.100129,6,0.113208,1.521,2.76
2026-08,gtm_agents,GTM agents,3,0.005725,0.001949,0.016696,1,0.018868,3.296,0.2
2026-08,openclaw_ecosystem,OpenClaw ecosystem,4,0.007634,0.002972,0.019462,1,0.018868,2.472,-0.36
2026-08,model_release,Model releases,6,0.01145,0.005258,0.024754,0,0.0,0.0,-0.91
